Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1866,-9.6,-16,-5.6,-0.8,10.8,13.2,19.4,14.9,10.3,-0.4,-2.6,-10.9,1.9
1867,-15.3,-13.6,-9.2,3.3,6.9,17.8,19.6,15.1,10.3,3.5,-3.3,-13.4,1.8
1868,-18.8,-14.6,-5.1,2.8,10.6,16.5,19.3,16,9,3.8,-5,-11.9,1.9
1869,-21.2,-10.2,-7.8,2.4,8.4,19.3,21.1,21.8,11.6,2.9,0.1,-14.8,2.8
1870,-15.3,-17.9,-6,2.2,9.2,19.1,18.2,13.3,999.9,999.9,999.9,999.9,999.9
1871,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1872,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1873,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1874,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1875,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1876,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1877,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1878,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1879,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1880,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1881,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1882,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,8.5,-2.5,-3.8,-16.6,999.9
1883,-20.1,-12.1,-5.9,1,12.1,16.6,17.2,13.4,8.7,2,-4.9,-8.6,1.6
1884,-14.3,-15.3,-8.9,-2.5,7.4,14.4,17.9,11.8,5.4,4,-4.5,-8.2,0.6
1885,-20.7,-10.7,-5.1,0.2,9.8,14,19.1,13.4,8,0.8,-9.9,-11.2,0.6
1886,-13.1,-15.6,-8.3,1.7,7.9,12.1,17.7,15.2,8.5,-1.7,-6.9,-5.9,1
1887,-16.3,-10,-9,2.4,13.4,16.5,19.3,17.1,13.2,0.8,-5.9,-9.3,2.7
1888,-17.4,-15.1,-8.2,7,12.1,16.3,20.4,15.6,10.9,2.1,-8.9,-21.4,1.1
1889,-16.8,-11,-9.2,5.2,11.6,14,17.1,16.4,9.7,2.5,-9.8,-12,1.5
1890,-13.5,-11.4,-3.5,1.8,5.6,17.9,21.2,15.3,9.6,2.1,-15.3,-12.3,1.5
1891,-20.7,-12.4,-3.2,-0.6,10.1,14.9,17.3,13.5,6,-3.1,-12.9,-11.1,-0.2
1892,-15.3,-11.1,-8.1,-0.5,12,16.5,19.8,15,8.5,0.9,-7.3,-18.6,1
1893,-20.5,-12.7,-2.7,1.3,8,13.9,17.9,15.7,10.5,3.3,-4.9,-12.6,1.4
1894,-14.4,-7.6,-8.8,-1,12.6,13.8,15.7,17.5,7.8,-0.9,-9,-16.7,0.8
1895,-14.6,-16.6,-3.1,-1.4,7.1,14,17.2,15.1,8.9,5.5,-8.1,-13.5,0.9
1896,-19.8,-15.5,-7.3,-0.5,12,14.4,18,16.5,9.6,5.7,-9.7,-17.8,0.5
1897,-13.6,-14.1,-8.9,1.8,15,15.8,16.7,14.3,11.6,0.4,-8.3,-16.8,1.2
1898,-13.3,-16.9,-12.9,0.6,11.8,14.9,20.4,15.5,12.4,-2.9,-6.5,-9,1.2
1899,-10.2,-12.7,-10.1,3.6,9.3,14.3,17.1,14.8,10.9,5.8,-2.6,-16,2
1900,-18.8,-15.2,-4.6,-0.8,10.6,12.9,15.9,15.2,7.3,4,-7.1,-11.9,0.6
